clust;skill_leaf_skills
ABAP ADVANCE ; ODATA
ABAP ADVANCE ; WORKFLOW
ABAP ADVANCE ; BRF
ABAP ADVANCE ; BOPF
ABAP ADVANCE ; AIF
ABAP CORE ; REPORT
ABAP CORE ; CONVERSIONS
ABAP CORE ; ENHANCEMENTS
ABAP CORE ; FORMS-SCRIPTS
ABAP CORE ; SMARTFORMS
ABAP CORE ; PRINT ADOBE FORMS
ABAP CORE ; DIALOG PROGRAMMING
ABAP CORE ; OO ABAP
